date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:43	68/68	---MCZ	200	added ('OK')	text/plain	etag:W/%221c920-34-5833ce20650d6%22	https://jkt48.com/robots.txt		(from )
11:29:43	31175/31175	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:29:43%20GMT	https://jkt48.com/	C:/My%20Web%20Sites/jktweb/jkt48.com/index.html	(from )
11:29:58	12981/12981	---M--	200	added ('OK')	image/png	etag:%224500c6-32b5-5bf3c4d74da80%22	https://jkt48.com/images/oglogo.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/oglogo.png	(from https://jkt48.com/)
11:29:58	31175/31175	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2004:29:59%20GMT	https://jkt48.com/?lang=id	C:/My%20Web%20Sites/jktweb/jkt48.com/index9bb4.html	(from https://jkt48.com/)
11:29:58	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221c515-47e-5833ce204f146%22	https://jkt48.com/favicon.ico	C:/My%20Web%20Sites/jktweb/jkt48.com/favicon.ico	(from https://jkt48.com/)
11:29:59	242927/242927	---M-Z	200	added ('OK')	text/css	etag:%221c003-3b4ef-6102aad365df8%22	https://jkt48.com/css/style.min.css	C:/My%20Web%20Sites/jktweb/jkt48.com/css/style.min.css	(from https://jkt48.com/)
11:29:59	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2013%20Feb%202024%2004:29:59%20GMT	https://www.facebook.com/official.JKT48	C:/My%20Web%20Sites/jktweb/www.facebook.com/official.1.delayed	(from https://jkt48.com/)
11:29:59	2954/2954	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a209-b8a-5cb58793aa3c0%22	https://jkt48.com/images/logo.svg	C:/My%20Web%20Sites/jktweb/jkt48.com/images/logo.svg	(from https://jkt48.com/)
11:29:59	170819/170819	---M--	200	added ('OK')	image/gif	etag:%221c010-29b43-5cec671f7f33b%22	https://jkt48.com/assets/loading.gif	C:/My%20Web%20Sites/jktweb/jkt48.com/assets/loading.gif	(from https://jkt48.com/)
11:29:59	1740/1740	---M--	200	added ('OK')	image/png	etag:%225d0057-6cc-5cb58793aa3c0%22	https://jkt48.com/images/logo.png	C:/My%20Web%20Sites/jktweb/jkt48.com/images/logo.png	(from https://jkt48.com/)
